,title,score,review_num,keyword,category
0,인생의 답은 내 안에 있다,9.8,238,"['행복', '멘토', '편향', '금언', '라틴어', '패러다임']",자기계발
1,웰씽킹(Wealthinking)(양장본 HardCover),9.9,66,"['부자', '유튜브', '멘토', '인생', '신사임당', '하네']",자기계발
2,오은영의 화해,9.7,325,"['위로', '내면', '육아', '의학', '멘토', '조언']",자기계발
3,서울 자가에 대기업 다니는 김 부장 이야기. 3: 송 과장 편(양장본 HardCover),9.7,36,"['웹툰', '투자자', '부동산', '투자', '팩션', '대한민국']",자기계발
4,하루공부 365(스프링),10.0,6,"['인생', '부자', '유튜브', '인간관계', '유재석', '이유']",자기계발
5,데일 카네기 자기관리론(1948년 초판 완역본),9.7,155,"['인생', '감정', '인간관계', '마음', '심리', '자기계발']",자기계발
6,사이다 공식으로 톡 쏘는 글쓰기 비법,10.0,23,"['유튜브', '비즈니스', '직장인', '홍보', '언택트시대', '제안서']",자기계발
7,하버드 지혜 수업,9.8,240,"['인생', '성공', '행복', '중국', '습관', '변화']",자기계발
8,럭키,9.2,188,"['인생', '유튜브', '인사이트', '관찰', '서퍼', '크리에이터']",자기계발
9,바인더의 힘(성과를 지배하는)(성과를 지배하는 힘 시리즈 1),9.7,50,"['하버드', '커리어', '스페셜 리스트', '지식경영', '도요타', '드러커']",자기계발
10,어포메이션,10.0,1,"['카네기', '확언', '인생', '나폴레옹', '성공학', '스티븐']",자기계발
11,인생 전환의 심리학 수업,9.8,121,"['트라우마', '멘토', '마음', '상처', '소크라테스', '교양심리']",자기계발
12,서울 자가에 대기업 다니는 김 부장 이야기. 1: 김부장 편,9.9,168,"['웹툰', '부동산 투자', '직장생활', '팩션', '회사원', '하이퍼리얼리즘']",자기계발
13,스타트 위드 와이(Start With Why),9.8,38,"['성공', '리더', '변화', '월스트리트', '골든', '타임스']",자기계발
14,홀로서기 연습,0.0,3,"['인생', '내면', '솔루션', '열등감', '이유', '자신']",자기계발
15,데일 카네기 인간관계론,9.5,1856,"['투자자', '인간관계', '리더십', '화술', '직장인', '소크라테스']",자기계발
16,오늘도 매진되었습니다,10.0,9,"['창업', '베이커리', '성공', '춘천', '감자', '매출']",자기계발
17,서울 자가에 대기업 다니는 김 부장 이야기. 2: 정 대리 권 사원 편(양장본 HardCover),9.9,100,"['웹툰', '비트코인', '부동산', '직장생활', '팩션', '회사원']",자기계발
18,지금은 나만의 시간입니다,9.5,56,"['변호사', '변화', '미국', '리셋', '혼자', '대한민국']",자기계발
19,내 영혼을 다독이는 관계 심리학,0.0,0,"['사랑', '나르시시즘', '외로움', '피플', '내면 세계', '전능']",자기계발
20,더 보스(The Boss),9.4,50,"['인생', '부자', '유튜브', '가난', '샤넬', '노숙자']",자기계발
21,생각하라 그리고 부자가 되어라,9.7,72,"['카네기', '에디션', '성공 철학', '성공 원칙', '앤드루', '에디슨']",자기계발
22,시크릿(양장본 HardCover),9.2,355,"['자기관리', '내면', '인생', '플라톤', '성공', '레오나르도']",자기계발
23,타이탄의 도구들(리커버 에디션),9.3,2371,"['자기관리', '성공법', '글래드웰', '코엘료', '아이디어', '파울로']",자기계발
